tag,url,id
Indie,https://steamdb.info/tag/492/,492
Low Confidence Metric,https://steamdb.info/tag/1003823/,1003823
Action,https://steamdb.info/tag/19/,19
Casual,https://steamdb.info/tag/597/,597
Adventure,https://steamdb.info/tag/21/,21
Singleplayer,https://steamdb.info/tag/4182/,4182
Simulation,https://steamdb.info/tag/599/,599
Strategy,https://steamdb.info/tag/9/,9
RPG,https://steamdb.info/tag/122/,122
2D,https://steamdb.info/tag/3871/,3871
Atmospheric,https://steamdb.info/tag/4166/,4166
Puzzle,https://steamdb.info/tag/1664/,1664
Free to Play,https://steamdb.info/tag/113/,113
Early Access,https://steamdb.info/tag/493/,493
Multiplayer,https://steamdb.info/tag/3859/,3859
Story Rich,https://steamdb.info/tag/1742/,1742
Fantasy,https://steamdb.info/tag/1684/,1684
Pixel Graphics,https://steamdb.info/tag/3964/,3964
Violent,https://steamdb.info/tag/4667/,4667
Anime,https://steamdb.info/tag/4085/,4085
First-Person,https://steamdb.info/tag/3839/,3839
Colorful,https://steamdb.info/tag/4305/,4305
Nudity,https://steamdb.info/tag/6650/,6650
3D,https://steamdb.info/tag/4191/,4191
Cute,https://steamdb.info/tag/4726/,4726
Great Soundtrack,https://steamdb.info/tag/1756/,1756
Arcade,https://steamdb.info/tag/1773/,1773
Sexual Content,https://steamdb.info/tag/12095/,12095
Funny,https://steamdb.info/tag/4136/,4136
VR,https://steamdb.info/tag/21978/,21978
Sci-fi,https://steamdb.info/tag/3942/,3942
Shooter,https://steamdb.info/tag/1774/,1774
Exploration,https://steamdb.info/tag/3834/,3834
Gore,https://steamdb.info/tag/4345/,4345
Horror,https://steamdb.info/tag/1667/,1667
Platformer,https://steamdb.info/tag/1625/,1625
Retro,https://steamdb.info/tag/4004/,4004
Difficult,https://steamdb.info/tag/4026/,4026
Sports,https://steamdb.info/tag/701/,701
Family Friendly,https://steamdb.info/tag/5350/,5350
Relaxing,https://steamdb.info/tag/1654/,1654
Open World,https://steamdb.info/tag/1695/,1695
Female Protagonist,https://steamdb.info/tag/7208/,7208
Survival,https://steamdb.info/tag/1662/,1662
Co-op,https://steamdb.info/tag/1685/,1685
Racing,https://steamdb.info/tag/699/,699
Visual Novel,https://steamdb.info/tag/3799/,3799
Comedy,https://steamdb.info/tag/1719/,1719
Massively Multiplayer,https://steamdb.info/tag/128/,128
FPS,https://steamdb.info/tag/1663/,1663
Action-Adventure,https://steamdb.info/tag/4106/,4106
Third Person,https://steamdb.info/tag/1697/,1697
Turn-Based,https://steamdb.info/tag/1677/,1677
Sandbox,https://steamdb.info/tag/3810/,3810
Realistic,https://steamdb.info/tag/4175/,4175
Online Co-Op,https://steamdb.info/tag/3843/,3843
Physics,https://steamdb.info/tag/3968/,3968
Stylized,https://steamdb.info/tag/4252/,4252
Top-Down,https://steamdb.info/tag/4791/,4791
Point & Click,https://steamdb.info/tag/1698/,1698
Space,https://steamdb.info/tag/1755/,1755
PvP,https://steamdb.info/tag/1775/,1775
Choices Matter,https://steamdb.info/tag/6426/,6426
Mystery,https://steamdb.info/tag/5716/,5716
Minimalist,https://steamdb.info/tag/4094/,4094
Management,https://steamdb.info/tag/12472/,12472
Psychological Horror,https://steamdb.info/tag/1721/,1721
Cartoony,https://steamdb.info/tag/4195/,4195
Adult Content,https://steamdb.info/tag/65443/,65443
Building,https://steamdb.info/tag/1643/,1643
Dark,https://steamdb.info/tag/4342/,4342
Local Multiplayer,https://steamdb.info/tag/7368/,7368
Side Scroller,https://steamdb.info/tag/3798/,3798
2D Platformer,https://steamdb.info/tag/5379/,5379
Tactical,https://steamdb.info/tag/1708/,1708
Replay Value,https://steamdb.info/tag/4711/,4711
Multiple Endings,https://steamdb.info/tag/6971/,6971
Design & Illustration,https://steamdb.info/tag/84/,84
Puzzle-Platformer,https://steamdb.info/tag/5537/,5537
Old School,https://steamdb.info/tag/3916/,3916
Character Customization,https://steamdb.info/tag/4747/,4747
Controller,https://steamdb.info/tag/7481/,7481
Shoot 'Em Up,https://steamdb.info/tag/4255/,4255
Combat,https://steamdb.info/tag/3993/,3993
Turn-Based Strategy,https://steamdb.info/tag/1741/,1741
Hand-drawn,https://steamdb.info/tag/6815/,6815
Action RPG,https://steamdb.info/tag/4231/,4231
Education,https://steamdb.info/tag/1036/,1036
Rogue-like,https://steamdb.info/tag/1716/,1716
Party-Based RPG,https://steamdb.info/tag/10695/,10695
Software,https://steamdb.info/tag/8013/,8013
Local Co-Op,https://steamdb.info/tag/3841/,3841
Survival Horror,https://steamdb.info/tag/3978/,3978
Mature,https://steamdb.info/tag/5611/,5611
Procedural Generation,https://steamdb.info/tag/5125/,5125
Classic,https://steamdb.info/tag/1693/,1693
Utilities,https://steamdb.info/tag/87/,87
Rogue-lite,https://steamdb.info/tag/3959/,3959
Magic,https://steamdb.info/tag/4057/,4057
Crafting,https://steamdb.info/tag/1702/,1702
Zombies,https://steamdb.info/tag/1659/,1659
Futuristic,https://steamdb.info/tag/4295/,4295
Linear,https://steamdb.info/tag/7250/,7250
JRPG,https://steamdb.info/tag/4434/,4434
Fast-Paced,https://steamdb.info/tag/1734/,1734
Short,https://steamdb.info/tag/4234/,4234
Hidden Object,https://steamdb.info/tag/1738/,1738
Turn-Based Combat,https://steamdb.info/tag/4325/,4325
Movie,https://steamdb.info/tag/4700/,4700
Medieval,https://steamdb.info/tag/4172/,4172
Historical,https://steamdb.info/tag/3987/,3987
PvE,https://steamdb.info/tag/6730/,6730
War,https://steamdb.info/tag/1678/,1678
Cartoon,https://steamdb.info/tag/4562/,4562
Hack and Slash,https://steamdb.info/tag/1646/,1646
Logic,https://steamdb.info/tag/6129/,6129
Resource Management,https://steamdb.info/tag/8945/,8945
3D Platformer,https://steamdb.info/tag/5395/,5395
Bullet Hell,https://steamdb.info/tag/4885/,4885
Romance,https://steamdb.info/tag/4947/,4947
Turn-Based Tactics,https://steamdb.info/tag/14139/,14139
RPGMaker,https://steamdb.info/tag/5577/,5577
Web Publishing,https://steamdb.info/tag/1038/,1038
Memes,https://steamdb.info/tag/10397/,10397
Choose Your Own Adventure,https://steamdb.info/tag/4486/,4486
Experimental,https://steamdb.info/tag/13782/,13782
RTS,https://steamdb.info/tag/1676/,1676
Interactive Fiction,https://steamdb.info/tag/11014/,11014
Walking Simulator,https://steamdb.info/tag/5900/,5900
Stealth,https://steamdb.info/tag/1687/,1687
Post-apocalyptic,https://steamdb.info/tag/3835/,3835
Drama,https://steamdb.info/tag/5984/,5984
Dungeon Crawler,https://steamdb.info/tag/1720/,1720
Dark Fantasy,https://steamdb.info/tag/4604/,4604
Dating Sim,https://steamdb.info/tag/9551/,9551
Base Building,https://steamdb.info/tag/7332/,7332
Isometric,https://steamdb.info/tag/5851/,5851
Top-Down Shooter,https://steamdb.info/tag/4637/,4637
Surreal,https://steamdb.info/tag/1710/,1710
Music,https://steamdb.info/tag/1621/,1621
Fighting,https://steamdb.info/tag/1743/,1743
Score Attack,https://steamdb.info/tag/5154/,5154
Card Game,https://steamdb.info/tag/1666/,1666
Military,https://steamdb.info/tag/4168/,4168
Cyberpunk,https://steamdb.info/tag/4115/,4115
Text-Based,https://steamdb.info/tag/31275/,31275
Driving,https://steamdb.info/tag/1644/,1644
Soundtrack,https://steamdb.info/tag/7948/,7948
Third-Person Shooter,https://steamdb.info/tag/3814/,3814
1990's,https://steamdb.info/tag/6691/,6691
4 Player Local,https://steamdb.info/tag/4840/,4840
Narration,https://steamdb.info/tag/5094/,5094
Abstract,https://steamdb.info/tag/4400/,4400
Beautiful,https://steamdb.info/tag/5411/,5411
Robots,https://steamdb.info/tag/5752/,5752
Flight,https://steamdb.info/tag/15045/,15045
Board Game,https://steamdb.info/tag/1770/,1770
Tower Defense,https://steamdb.info/tag/1645/,1645
Competitive,https://steamdb.info/tag/3878/,3878
Economy,https://steamdb.info/tag/4695/,4695
2.5D,https://steamdb.info/tag/4975/,4975
Hentai,https://steamdb.info/tag/9130/,9130
Action Roguelike,https://steamdb.info/tag/42804/,42804
LGBTQ+,https://steamdb.info/tag/44868/,44868
1980s,https://steamdb.info/tag/7743/,7743
Dark Humor,https://steamdb.info/tag/5923/,5923
Detective,https://steamdb.info/tag/5613/,5613
Aliens,https://steamdb.info/tag/1673/,1673
City Builder,https://steamdb.info/tag/4328/,4328
Perma Death,https://steamdb.info/tag/1759/,1759
Investigation,https://steamdb.info/tag/8369/,8369
Nature,https://steamdb.info/tag/30358/,30358
Immersive Sim,https://steamdb.info/tag/9204/,9204
Emotional,https://steamdb.info/tag/5608/,5608
Metroidvania,https://steamdb.info/tag/1628/,1628
Tabletop,https://steamdb.info/tag/17389/,17389
Team-Based,https://steamdb.info/tag/5711/,5711
Arena Shooter,https://steamdb.info/tag/5547/,5547
Beat 'em up,https://steamdb.info/tag/4158/,4158
Time Management,https://steamdb.info/tag/16689/,16689
Moddable,https://steamdb.info/tag/1669/,1669
NSFW,https://steamdb.info/tag/24904/,24904
Clicker,https://steamdb.info/tag/379975/,379975
Character Action Game,https://steamdb.info/tag/3955/,3955
Cinematic,https://steamdb.info/tag/4145/,4145
Real Time Tactics,https://steamdb.info/tag/3813/,3813
Animation & Modeling,https://steamdb.info/tag/872/,872
Precision Platformer,https://steamdb.info/tag/3877/,3877
Strategy RPG,https://steamdb.info/tag/17305/,17305
Thriller,https://steamdb.info/tag/4064/,4064
Automobile Sim,https://steamdb.info/tag/1100687/,1100687
Wargame,https://steamdb.info/tag/4684/,4684
Psychological,https://steamdb.info/tag/5186/,5186
Psychedelic,https://steamdb.info/tag/1714/,1714
Twin Stick Shooter,https://steamdb.info/tag/4758/,4758
Level Editor,https://steamdb.info/tag/8122/,8122
Life Sim,https://steamdb.info/tag/10235/,10235
Tutorial,https://steamdb.info/tag/12057/,12057
Conversation,https://steamdb.info/tag/15172/,15172
Destruction,https://steamdb.info/tag/5363/,5363
World War II,https://steamdb.info/tag/4150/,4150
Tactical RPG,https://steamdb.info/tag/21725/,21725
Audio Production,https://steamdb.info/tag/1027/,1027
Demons,https://steamdb.info/tag/9541/,9541
Crime,https://steamdb.info/tag/6378/,6378
Modern,https://steamdb.info/tag/5673/,5673
Game Development,https://steamdb.info/tag/13906/,13906
Rhythm,https://steamdb.info/tag/1752/,1752
Dystopian ,https://steamdb.info/tag/5030/,5030
Grand Strategy,https://steamdb.info/tag/4364/,4364
Runner,https://steamdb.info/tag/8666/,8666
Alternate History,https://steamdb.info/tag/4598/,4598
Comic Book,https://steamdb.info/tag/1751/,1751
Nonlinear,https://steamdb.info/tag/6869/,6869
2D Fighter,https://steamdb.info/tag/4736/,4736
Loot,https://steamdb.info/tag/4236/,4236
Match 3,https://steamdb.info/tag/1665/,1665
Parkour,https://steamdb.info/tag/4036/,4036
Space Sim,https://steamdb.info/tag/16598/,16598
Supernatural,https://steamdb.info/tag/10808/,10808
Lore-Rich,https://steamdb.info/tag/3854/,3854
Addictive,https://steamdb.info/tag/4190/,4190
MMORPG,https://steamdb.info/tag/1754/,1754
Inventory Management,https://steamdb.info/tag/6276/,6276
Open World Survival Craft,https://steamdb.info/tag/1100689/,1100689
Dark Comedy,https://steamdb.info/tag/19995/,19995
Video Production,https://steamdb.info/tag/784/,784
Souls-like,https://steamdb.info/tag/29482/,29482
Science,https://steamdb.info/tag/5794/,5794
Mouse only,https://steamdb.info/tag/11123/,11123
Split Screen,https://steamdb.info/tag/10816/,10816
Episodic,https://steamdb.info/tag/4242/,4242
CRPG,https://steamdb.info/tag/4474/,4474
Artificial Intelligence,https://steamdb.info/tag/7926/,7926
Grid-Based Movement,https://steamdb.info/tag/7569/,7569
Lovecraftian,https://steamdb.info/tag/7432/,7432
Software Training,https://steamdb.info/tag/1445/,1445
Real-Time,https://steamdb.info/tag/4161/,4161
Mythology,https://steamdb.info/tag/16094/,16094
Philosophical,https://steamdb.info/tag/15277/,15277
Noir,https://steamdb.info/tag/6052/,6052
Card Battler,https://steamdb.info/tag/791774/,791774
Blood,https://steamdb.info/tag/5228/,5228
Voxel,https://steamdb.info/tag/1732/,1732
Swordplay,https://steamdb.info/tag/4608/,4608
Cats,https://steamdb.info/tag/17894/,17894
Deckbuilding,https://steamdb.info/tag/32322/,32322
Battle Royale,https://steamdb.info/tag/176981/,176981
Steampunk,https://steamdb.info/tag/1777/,1777
eSports,https://steamdb.info/tag/5055/,5055
Collectathon,https://steamdb.info/tag/5652/,5652
Dragons,https://steamdb.info/tag/4046/,4046
Mechs,https://steamdb.info/tag/4821/,4821
Cult Classic,https://steamdb.info/tag/7782/,7782
6DOF,https://steamdb.info/tag/4835/,4835
Political,https://steamdb.info/tag/4853/,4853
4X,https://steamdb.info/tag/1670/,1670
Tanks,https://steamdb.info/tag/13276/,13276
Colony Sim,https://steamdb.info/tag/220585/,220585
Parody ,https://steamdb.info/tag/4878/,4878
Bullet Time,https://steamdb.info/tag/5796/,5796
Pirates,https://steamdb.info/tag/1681/,1681
Idler,https://steamdb.info/tag/615955/,615955
Trains,https://steamdb.info/tag/1616/,1616
Hex Grid,https://steamdb.info/tag/1717/,1717
Co-op Campaign,https://steamdb.info/tag/4508/,4508
Vehicular Combat,https://steamdb.info/tag/11104/,11104
Time Manipulation,https://steamdb.info/tag/6625/,6625
Satire,https://steamdb.info/tag/1651/,1651
Word Game,https://steamdb.info/tag/24003/,24003
Photo Editing,https://steamdb.info/tag/809/,809
Class-Based,https://steamdb.info/tag/4155/,4155
Farming Sim,https://steamdb.info/tag/87918/,87918
Ninja,https://steamdb.info/tag/1688/,1688
Hacking,https://steamdb.info/tag/5502/,5502
3D Fighter,https://steamdb.info/tag/6506/,6506
Trading,https://steamdb.info/tag/4202/,4202
Real-Time with Pause,https://steamdb.info/tag/7107/,7107
Otome,https://steamdb.info/tag/31579/,31579
Capitalism,https://steamdb.info/tag/4845/,4845
3D Vision,https://steamdb.info/tag/29363/,29363
Gothic,https://steamdb.info/tag/3952/,3952
Remake,https://steamdb.info/tag/5708/,5708
Hunting,https://steamdb.info/tag/9564/,9564
America,https://steamdb.info/tag/13190/,13190
Western,https://steamdb.info/tag/1647/,1647
Mining,https://steamdb.info/tag/5981/,5981
Mystery Dungeon,https://steamdb.info/tag/198631/,198631
Gun Customization,https://steamdb.info/tag/5765/,5765
Naval,https://steamdb.info/tag/6910/,6910
Time Travel,https://steamdb.info/tag/10679/,10679
Solitaire,https://steamdb.info/tag/13070/,13070
Agriculture,https://steamdb.info/tag/22602/,22602
FMV,https://steamdb.info/tag/18594/,18594
God Game,https://steamdb.info/tag/5300/,5300
MOBA,https://steamdb.info/tag/1718/,1718
Politics,https://steamdb.info/tag/4754/,4754
Combat Racing,https://steamdb.info/tag/4102/,4102
Dinosaurs,https://steamdb.info/tag/5160/,5160
Dungeons & Dragons,https://steamdb.info/tag/14153/,14153
Programming,https://steamdb.info/tag/5432/,5432
Automation,https://steamdb.info/tag/255534/,255534
Underwater,https://steamdb.info/tag/9157/,9157
Hero Shooter,https://steamdb.info/tag/620519/,620519
Touch-Friendly,https://steamdb.info/tag/25085/,25085
Conspiracy,https://steamdb.info/tag/5372/,5372
Martial Arts,https://steamdb.info/tag/6915/,6915
GameMaker,https://steamdb.info/tag/1649/,1649
Illuminati,https://steamdb.info/tag/7478/,7478
Kickstarter,https://steamdb.info/tag/5153/,5153
Sokoban,https://steamdb.info/tag/1730/,1730
Spectacle fighter,https://steamdb.info/tag/4777/,4777
Underground,https://steamdb.info/tag/21006/,21006
Fishing,https://steamdb.info/tag/15564/,15564
Trading Card Game,https://steamdb.info/tag/9271/,9271
Superhero,https://steamdb.info/tag/1671/,1671
Dog,https://steamdb.info/tag/1638/,1638
Cold War,https://steamdb.info/tag/5179/,5179
Experience,https://steamdb.info/tag/9994/,9994
Vampire,https://steamdb.info/tag/4018/,4018
Documentary,https://steamdb.info/tag/15339/,15339
Dynamic Narration,https://steamdb.info/tag/9592/,9592
Political Sim,https://steamdb.info/tag/26921/,26921
Minigames,https://steamdb.info/tag/8093/,8093
Quick-Time Events,https://steamdb.info/tag/4559/,4559
Looter Shooter,https://steamdb.info/tag/353880/,353880
Creature Collector,https://steamdb.info/tag/916648/,916648
Assassin,https://steamdb.info/tag/4376/,4376
Faith,https://steamdb.info/tag/180368/,180368
Soccer,https://steamdb.info/tag/1679/,1679
Time Attack,https://steamdb.info/tag/5390/,5390
Naval Combat,https://steamdb.info/tag/4994/,4994
Music-Based Procedural Generation,https://steamdb.info/tag/8253/,8253
Heist,https://steamdb.info/tag/1680/,1680
Football,https://steamdb.info/tag/7226/,7226
Asynchronous Multiplayer,https://steamdb.info/tag/17770/,17770
Party Game,https://steamdb.info/tag/7178/,7178
Typing,https://steamdb.info/tag/1674/,1674
Narrative,https://steamdb.info/tag/7702/,7702
On-Rails Shooter,https://steamdb.info/tag/56690/,56690
Archery,https://steamdb.info/tag/13382/,13382
Transportation,https://steamdb.info/tag/10383/,10383
Party,https://steamdb.info/tag/7108/,7108
Epic,https://steamdb.info/tag/3965/,3965
Diplomacy,https://steamdb.info/tag/6310/,6310
Mod,https://steamdb.info/tag/5348/,5348
Chess,https://steamdb.info/tag/4184/,4184
Immersive,https://steamdb.info/tag/3934/,3934
TrackIR,https://steamdb.info/tag/8075/,8075
Sailing,https://steamdb.info/tag/13577/,13577
Villain Protagonist,https://steamdb.info/tag/11333/,11333
Trivia,https://steamdb.info/tag/10437/,10437
Offroad,https://steamdb.info/tag/7622/,7622
Auto Battler,https://steamdb.info/tag/1084988/,1084988
Snow,https://steamdb.info/tag/9803/,9803
Horses,https://steamdb.info/tag/6041/,6041
Crowdfunded,https://steamdb.info/tag/7113/,7113
Sequel,https://steamdb.info/tag/5230/,5230
360 Video,https://steamdb.info/tag/776177/,776177
Mars,https://steamdb.info/tag/6702/,6702
Gaming,https://steamdb.info/tag/150626/,150626
Pinball,https://steamdb.info/tag/6621/,6621
World War I,https://steamdb.info/tag/5382/,5382
Based On A Novel,https://steamdb.info/tag/3796/,3796
Sniper,https://steamdb.info/tag/7423/,7423
Silent Protagonist,https://steamdb.info/tag/15954/,15954
Warhammer 40K,https://steamdb.info/tag/12286/,12286
Foreign,https://steamdb.info/tag/51306/,51306
Games Workshop,https://steamdb.info/tag/5310/,5310
Gambling,https://steamdb.info/tag/16250/,16250
LEGO,https://steamdb.info/tag/1736/,1736
Boxing,https://steamdb.info/tag/12190/,12190
Cooking,https://steamdb.info/tag/3920/,3920
Rome,https://steamdb.info/tag/6948/,6948
Traditional Roguelike,https://steamdb.info/tag/454187/,454187
Roguelike Deckbuilder,https://steamdb.info/tag/1091588/,1091588
Transhumanism,https://steamdb.info/tag/4137/,4137
Werewolves,https://steamdb.info/tag/17015/,17015
Motorbike,https://steamdb.info/tag/198913/,198913
Medical Sim,https://steamdb.info/tag/1100688/,1100688
Unforgiving,https://steamdb.info/tag/1733/,1733
Golf,https://steamdb.info/tag/7038/,7038
Electronic Music,https://steamdb.info/tag/61357/,61357
Nostalgia,https://steamdb.info/tag/14720/,14720
Ambient,https://steamdb.info/tag/29855/,29855
Bikes,https://steamdb.info/tag/123332/,123332
Farming,https://steamdb.info/tag/4520/,4520
Outbreak Sim,https://steamdb.info/tag/1100686/,1100686
Spelling,https://steamdb.info/tag/71389/,71389
Asymmetric VR,https://steamdb.info/tag/856791/,856791
Basketball,https://steamdb.info/tag/1746/,1746
Jet,https://steamdb.info/tag/92092/,92092
Submarine,https://steamdb.info/tag/19780/,19780
Mini Golf,https://steamdb.info/tag/22955/,22955
Roguevania,https://steamdb.info/tag/922563/,922563
Social Deduction,https://steamdb.info/tag/745697/,745697
Intentionally Awkward Controls,https://steamdb.info/tag/14906/,14906
Spaceships,https://steamdb.info/tag/4291/,4291
Action RTS,https://steamdb.info/tag/1723/,1723
Pool,https://steamdb.info/tag/17927/,17927
Lemmings,https://steamdb.info/tag/17337/,17337
Wrestling,https://steamdb.info/tag/47827/,47827
Baseball,https://steamdb.info/tag/5727/,5727
Tennis,https://steamdb.info/tag/5914/,5914
Instrumental Music,https://steamdb.info/tag/189941/,189941
Hockey,https://steamdb.info/tag/324176/,324176
Motocross,https://steamdb.info/tag/15868/,15868
Feature Film,https://steamdb.info/tag/233824/,233824
Skateboarding,https://steamdb.info/tag/1753/,1753
Benchmark,https://steamdb.info/tag/5407/,5407
Voice Control,https://steamdb.info/tag/27758/,27758
Skating,https://steamdb.info/tag/96359/,96359
Electronic,https://steamdb.info/tag/143739/,143739
Rock Music,https://steamdb.info/tag/337964/,337964
Cycling,https://steamdb.info/tag/19568/,19568
Bowling,https://steamdb.info/tag/7328/,7328
Hardware,https://steamdb.info/tag/603297/,603297
Skiing,https://steamdb.info/tag/7309/,7309
ATV,https://steamdb.info/tag/129761/,129761
Snowboarding,https://steamdb.info/tag/28444/,28444
Well-Written,https://steamdb.info/tag/8461/,8461
Reboot,https://steamdb.info/tag/5941/,5941
8-bit Music,https://steamdb.info/tag/117648/,117648
Steam Machine,https://steamdb.info/tag/348922/,348922
BMX,https://steamdb.info/tag/252854/,252854
